input_time,input_voltage,output_time,output_voltage
2024-05-01 00:00:00,0.12073308946253117,2024-05-01 00:30:00,0.11340401782709662
2024-05-01 00:15:00,0.15460076950439577,2024-05-01 00:47:00,0.14298315820185548
2024-05-01 00:30:00,0.11584025350107889,2024-05-01 00:33:00,0.10737905533790884
2024-05-01 00:45:00,0.1582322284808725,2024-05-01 01:14:00,0.13850387854261434
2024-05-01 01:00:00,0.11788473662761637,2024-05-01 01:51:00,0.10385844103471523
2024-05-01 01:15:00,0.15642868742025903,2024-05-01 01:43:00,0.14753574314543735
2024-05-01 01:30:00,0.12868833815220218,2024-05-01 02:18:00,0.11179084930859459
2024-05-01 01:45:00,0.1233440149963741,2024-05-01 02:08:00,0.10282787209208125
2024-05-01 02:00:00,0.15270620312992073,2024-05-01 02:01:00,0.13064801832924336
2024-05-01 02:15:00,0.13473364343399763,2024-05-01 03:04:00,0.12770227066191975
2024-05-01 02:30:00,0.11219232953640033,2024-05-01 02:50:00,0.10634768513251902
2024-05-01 02:45:00,0.12023751604948654,2024-05-01 03:05:00,0.1017836402681371
2024-05-01 03:00:00,0.11939621362513254,2024-05-01 03:37:00,0.10515031128863632
2024-05-01 03:15:00,0.11253172618994811,2024-05-01 04:11:00,0.09638184798752553
2024-05-01 03:30:00,0.1292679799897712,2024-05-01 03:36:00,0.12231666571836235
2024-05-01 03:45:00,0.12208411142916943,2024-05-01 04:31:00,0.09869989101283883
2024-05-01 04:00:00,0.14366002888634827,2024-05-01 04:40:00,0.12525191401677624
2024-05-01 04:15:00,0.1279993656273067,2024-05-01 04:59:00,0.10632109639258332
2024-05-01 04:30:00,0.10165618084448816,2024-05-01 04:38:00,0.09485562417050378
2024-05-01 04:45:00,0.13779173070121853,2024-05-01 05:03:00,0.1134128558326921
2024-05-01 05:00:00,0.1407388271516224,2024-05-01 05:58:00,0.12584286715124968
2024-05-01 05:15:00,0.13996907740207876,2024-05-01 05:36:00,0.12927116160509952
2024-05-01 05:30:00,0.13676746897650735,2024-05-01 05:54:00,0.11150806989981327
